geneName	baseMean	log2FC	lfcSE	stat	pvalue	padj
Xlr4c	1.192208753	-0.033004048	0.164169531	-0.201036378	0.840670129	0.999630442
Rtraf	6263.3927	-0.242964229	0.069754946	-3.483111129	0.000495623	0.003993
4933417C20Rik	17.9276485	0.303639874	0.297870302	1.019369411	0.308027622	0.837913528
Gm6434	6.163032987	-0.106762995	0.272166515	-0.392270866	0.694858087	0.999630442
Slc30a2	7.084627257	-0.000910495	0.278160856	-0.003273268	0.997388314	0.999630442
Sgpl1	1737.563463	-0.687292233	0.084450279	-8.138424668	4.00E-16	1.33E-14
1700001G01Rik	1.013385323	0.001749268	0.154708419	0.011306869	0.990978616	0.999630442
RP23-242K3.6	425.5425135	0.017395875	0.130919831	0.132874252	0.89429283	0.999630442
Gm13306	1.013385323	0.001749268	0.154708419	0.011306869	0.990978616	0.999630442
Trpm3	1.013385323	0.001749268	0.154708419	0.011306869	0.990978616	0.999630442
Gm40377	1.357347277	0.068673571	0.172537439	0.398021275	0.690614503	0.999630442
Hoxc5	9.196755721	0.241856064	0.290342742	0.833001927	0.404843642	0.995797397
Dkc1	32072.89686	0.024932863	0.065809964	0.378861521	0.7047907	0.999630442
Gm9754	7.716330454	0.103585696	0.283207244	0.365759345	0.714544659	0.999630442
Stra6l	1.013385323	0.001749268	0.154708419	0.011306869	0.990978616	0.999630442
Sp140	641.8573689	-0.053116822	0.106708776	-0.497773697	0.618643557	0.999630442
Tgfbr3	254.3005152	-1.112330678	0.154002294	-7.222818907	5.09E-13	1.31E-11
Piezo2	1.013385323	0.001749268	0.154708419	0.011306869	0.990978616	0.999630442
Ifi30	1905.426885	1.086245204	0.090258474	12.03482799	2.33E-33	1.85E-31
Hdc	272.328566	-0.209057141	0.144348019	-1.448285484	0.147537226	0.496996049
Slc25a42	1334.865969	0.578574161	0.093156447	6.210779611	5.27E-10	1.04E-08
Cyp20a1	5092.25369	-0.028442088	0.071596097	-0.397257513	0.691177575	0.999630442
Hsd17b14	640.3311556	-0.558351999	0.109577868	-5.095481486	3.48E-07	4.94E-06
Oxld1	487.032799	0.274666318	0.122756859	2.237482444	0.025254825	0.12034865
Cxcl3	389.9316624	-0.362906713	0.138590249	-2.618558785	0.008830208	0.049958642
Bmt2	2729.519948	-0.447387681	0.075245233	-5.945727901	2.75E-09	5.02E-08
Ppm1j	22.22356426	-0.582795085	0.295549702	-1.971902127	0.04862078	0.207145036
Gm43857	89.63147757	0.09451457	0.219279308	0.431023662	0.666451166	0.999630442
Knl1	9152.037921	-0.050616891	0.163575219	-0.309441072	0.756986032	0.999630442
Spag8	4.949263424	0.232398622	0.2599924	0.893866982	0.371393066	0.945511603
Uso1	10686.82619	-0.00702686	0.067874167	-0.103527752	0.917544125	0.999630442
Gm38250	73.85893936	0.091959951	0.229121361	0.401359136	0.688155731	0.999630442
Tmod4	146.8195518	0.290094923	0.18380394	1.578284575	0.114500248	0.407971133
Gm25777	124.61754	0.16362254	0.192817108	0.848589323	0.39610985	0.982214584
Tbl3	13483.47599	-0.100670866	0.072008186	-1.398047522	0.162098797	0.534193004
Gm37078	2.907048524	-0.030766105	0.216682104	-0.141987289	0.887090046	0.999630442
Klhl7	4331.940997	0.386554977	0.075841469	5.09688147	3.45E-07	4.90E-06
Nup205	32422.54109	-0.040293174	0.066443621	-0.606426529	0.544231557	0.999630442
Vstm5	8.691737915	-0.437316766	0.285185608	-1.533446127	0.125165971	0.438089437
Gzmb	38.89103983	-1.809373083	0.283880723	-6.373708874	1.85E-10	3.84E-09
Rps19-ps9	1.164800522	-0.029296627	0.163064765	-0.179662524	0.857417516	0.999630442
Ccdc127	14717.90101	0.179553326	0.068485158	2.621784513	0.008747072	0.04954292
Gm3076	16.32620816	0.159562255	0.298720235	0.534152817	0.59323581	0.999630442
Diaph2	398.2994944	-1.031403718	0.132165202	-7.803897743	6.00E-15	1.80E-13
Llph-ps2	2178.396344	0.054467915	0.085122049	0.639880223	0.522250472	0.999630442
Zfp644	5241.733669	0.095988165	0.079790133	1.203007958	0.228973241	0.687536179
Hsd17b12	10820.2637	-0.48944031	0.066663692	-7.341932301	2.11E-13	5.63E-12
2410124H12Rik	1.013385323	0.001749268	0.154708419	0.011306869	0.990978616	0.999630442
Hmbs	52440.70586	1.053042926	0.076080662	13.84113778	1.44E-43	1.81E-41
Cept1	6370.187342	0.076351274	0.068101096	1.121146048	0.2622257	0.755572909
Qrsl1	2700.877084	0.0700498	0.078439906	0.893037781	0.37183694	0.946265991
Gm13504	3.873489303	0.136475279	0.244480548	0.558225514	0.576690401	0.999630442
Ighg2c	1.013385323	0.001749268	0.154708419	0.011306869	0.990978616	0.999630442
Gm9008	17.95102885	-0.169365266	0.297832971	-0.568658552	0.569587881	0.999630442
Zfp939	107.0667325	-0.041195067	0.202029001	-0.203906699	0.83842641	0.999630442
Gm24233	10.32071488	-0.048619438	0.293232969	-0.165804813	0.868310558	0.999630442
Gm38947	1.013385323	0.001749268	0.154708419	0.011306869	0.990978616	0.999630442
Gm15261	4.396894934	0.002082758	0.249879157	0.00833506	0.993349661	0.999630442
Gm13283	1.185903398	-0.032194404	0.163968272	-0.196345324	0.844339888	0.999630442
Vwa3a	3.11145246	-0.054617103	0.226748736	-0.240870593	0.809655414	0.999630442
Gata3	56.76354078	-0.429813199	0.246726071	-1.742066401	0.081496826	0.312349705
1700092C10Rik	1.013385323	0.001749268	0.154708419	0.011306869	0.990978616	0.999630442
Dynlt1-ps1	8580.967549	0.006199821	0.070379783	0.088090943	0.929804395	0.999630442
Sprr1a	2.203457621	-0.025925885	0.199268313	-0.130105406	0.896483033	0.999630442
Rex2	33.94618484	-0.263056696	0.276746152	-0.950534252	0.341840859	0.897993006
Pgf	18.95358805	-1.243781771	0.298381124	-4.168433156	3.07E-05	0.000317958
Krr1	12472.15392	0.076312026	0.067638307	1.128236789	0.259219931	0.750170315
Rpl36a-ps4	1.18005199	0.035011212	0.163768964	0.213784171	0.830715369	0.999630442
G3bp2	27732.12797	-0.12095848	0.063853046	-1.894325915	0.058181763	0.239640108
Gm26411	1.013385323	0.001749268	0.154708419	0.011306869	0.990978616	0.999630442
Clca3a2	35.71705635	0.069178942	0.275275181	0.251308314	0.801575747	0.999630442
1110035H17Rik	7.051957394	-0.128024903	0.277695501	-0.461026204	0.644779805	0.999630442
Gm13068	2.054178878	-0.000369709	0.200419577	-0.001844675	0.998528163	0.999630442
4930438A08Rik	1.363198685	0.0024746	0.172995975	0.014304382	0.988587144	0.999630442
Ssh1	511.8625954	1.267167031	0.121425613	10.43574744	1.70E-25	9.45E-24
Itprid2	4337.043478	-0.698653472	0.078603513	-8.888323795	6.20E-19	2.46E-17
RP24-296C19.4	19.5663853	0.159902121	0.296811512	0.538732879	0.590071183	0.999630442
Pih1d2	425.374712	-0.01094886	0.130399727	-0.083963828	0.933085192	0.999630442
5033417F24Rik	38.89150592	0.09730097	0.269198788	0.361446539	0.717765663	0.999630442
Ubxn4	8887.88195	0.079341954	0.070398143	1.127046131	0.259722977	0.750694514
Gm3716	2.521848217	-0.019511195	0.211195259	-0.092384626	0.926392454	0.999630442
Mark2	7343.821556	0.011849166	0.076884447	0.154116557	0.877517834	0.999630442
H2ac7	10.87258305	-0.187429738	0.295052086	-0.635242884	0.525270018	0.999630442
Zfp87	3393.302589	0.060896808	0.074269144	0.819947615	0.412245971	0.999630442
4921524J17Rik	2023.463584	-0.10942146	0.082754488	-1.322242013	0.186087575	0.591734037
Amd-ps3	2235.107384	0.109864934	0.082766336	1.327410861	0.184372809	0.587811496
Nrg2	1.164800522	-0.029296627	0.163064765	-0.179662524	0.857417516	0.999630442
Gm7890	1.711937851	0.130136007	0.186459044	0.697933469	0.485218802	0.999630442
Plaur	2.164008573	-0.207461342	0.202937373	-1.022292441	0.30664251	0.835652147
Gm15287	3.393064036	0.11429986	0.234766446	0.486866255	0.626353114	0.999630442
Tmc2	1.525542086	0.030947011	0.1783316	0.173536327	0.862229876	0.999630442
Gm37356	1.013385323	0.001749268	0.154708419	0.011306869	0.990978616	0.999630442
Csmd1	1.013385323	0.001749268	0.154708419	0.011306869	0.990978616	0.999630442
Gm22903	1.185903398	-0.032194404	0.163968272	-0.196345324	0.844339888	0.999630442
Apoo-ps	2343.325972	0.365684163	0.086610632	4.222162484	2.42E-05	0.000255012
Pik3ca	7110.158887	-0.057220358	0.071059668	-0.805243811	0.420678999	0.999630442
Kcna3	1.013385323	0.001749268	0.154708419	0.011306869	0.990978616	0.999630442
Slu7	4820.941403	0.078036218	0.076010434	1.026651394	0.304584645	0.83160519
Gm37030	1.013385323	0.001749268	0.154708419	0.011306869	0.990978616	0.999630442
Gm44180	5.186002007	-0.068528946	0.260205789	-0.263364418	0.792269713	0.999630442
Zfp575	1.331467189	0.0039487	0.171695514	0.02299827	0.981651653	0.999630442
Mboat2	6561.309153	0.585222083	0.07427748	7.878862954	3.30E-15	1.01E-13
A830009L08Rik	1.192208753	-0.033004048	0.164169531	-0.201036378	0.840670129	0.999630442
Otulinl	1.013385323	0.001749268	0.154708419	0.011306869	0.990978616	0.999630442
Insyn1	1.013385323	0.001749268	0.154708419	0.011306869	0.990978616	0.999630442
Gm13022	4.42445753	0.004904686	0.253427724	0.019353391	0.984559192	0.999630442
Gm15773	395.8118112	0.303044078	0.13085154	2.315938192	0.020561644	0.101627607
RP23-385N1.1	541.6736245	0.192839445	0.117013281	1.648013312	0.09934994	0.366272586
Cmip	5531.752864	-0.043516653	0.072905269	-0.596893115	0.550578744	0.999630442
Ero1l	17554.4125	-0.199623839	0.067601293	-2.952958873	0.003147439	0.020617493
Gm43511	21.4799493	0.407013219	0.296678815	1.371898489	0.170095041	0.554561507
Gimap8	1.013385323	0.001749268	0.154708419	0.011306869	0.990978616	0.999630442
4933427I22Rik	1.013385323	0.001749268	0.154708419	0.011306869	0.990978616	0.999630442
Cpne2	2538.533692	0.113996387	0.090129289	1.264809571	0.2059396	0.635943314
Gm17102	1.676957285	0.001653273	0.185821136	0.008897121	0.992901218	0.999630442
1700027J07Rik	1.703911569	-0.063346091	0.186779436	-0.339149172	0.734497358	0.999630442
Crim1	2.794320896	-0.133870972	0.220677858	-0.606635271	0.544092988	0.999630442
Tjp1	8903.140675	0.641815214	0.074077484	8.664106565	4.55E-18	1.73E-16
G6pdx	23333.02521	0.265834011	0.070720146	3.758957345	0.000170623	0.001530356
Gm13106	1.013385323	0.001749268	0.154708419	0.011306869	0.990978616	0.999630442
Gm37707	2.524013944	0.267600771	0.212583751	1.258801625	0.208101993	0.640998118
Gprc5a	1.331467189	0.0039487	0.171695514	0.02299827	0.981651653	0.999630442
Gm16278	6.091976336	-0.283500444	0.271376868	-1.044674316	0.296173519	0.817700505
Iffo2	14.00639622	-0.113488632	0.298632463	-0.380027782	0.703924793	0.999630442
Gm15361	3125.867401	0.104054149	0.082027036	1.268534795	0.204607033	0.63270465
Gm45356	1.185903398	-0.032194404	0.163968272	-0.196345324	0.844339888	0.999630442
Lancl2	3114.265845	0.13560793	0.07901344	1.716264091	0.086113718	0.326628579
RP23-433B2.9	1.35887542	0.000240415	0.172818926	0.001391138	0.998890033	0.999630442
AW209491	4967.391153	-0.138505874	0.06947314	-1.993660781	0.046189138	0.199200365
Gm42874	2.530019717	0.21338329	0.213738433	0.998338422	0.318115283	0.856386742
Bcl2l1	1833.503053	-0.828908073	0.086805942	-9.548978538	1.31E-21	6.02E-20
Lin54	4280.260391	0.164441349	0.073355515	2.24170397	0.024980511	0.119240802
Gm38941	1.18005199	0.034965854	0.163636426	0.213680135	0.830796504	0.999630442
Gm11793	60.36353904	0.288371166	0.242354997	1.189870931	0.234097125	0.699075606
Gm38161	6.291499048	-0.311413041	0.266891679	-1.166814349	0.243285351	0.718071088
Sgo1	5229.5889	0.073587119	0.068869299	1.068503958	0.285293246	0.798684094
Abcc1	7049.826889	-1.437467858	0.081801717	-17.57258789	4.00E-69	1.11E-66
Gm15764	1.18005199	0.035011212	0.163768964	0.213784171	0.830715369	0.999630442
Glrx5	21418.0899	0.446051908	0.066258673	6.73197773	1.67E-11	3.80E-10
Unc13b	901.9201921	0.041935685	0.101377942	0.413656904	0.679125393	0.999630442
Sstr5	4.061413211	0.166090165	0.248072827	0.669521797	0.503162681	0.999630442
Map1s	3320.648319	0.140598038	0.088605824	1.586780999	0.112562254	0.402599963
Gm5865	28.4505845	0.026888373	0.284750366	0.09442788	0.92476927	0.999630442
Fv1	1367.305282	-0.180899895	0.092589326	-1.953787789	0.050726319	0.214618429
Ica1	5384.26837	-0.161959745	0.068374894	-2.368701942	0.017850632	0.090512833
Rnpc3	2446.984483	0.149154832	0.079168198	1.884024593	0.059561649	0.244145184
Kctd14	58.22269196	-0.107279161	0.246422408	-0.435346613	0.663310855	0.999630442
Gm38109	1.831467189	0.094543323	0.191207443	0.494454201	0.620985444	0.999630442
Sgsm2	1328.948438	0.299310913	0.099180227	3.01784863	0.00254576	0.017140116
Wdr44	1729.666732	0.088805097	0.083829402	1.059355008	0.289438132	0.805496356
Abcc12	1.013385323	0.001749268	0.154708419	0.011306869	0.990978616	0.999630442
Gins1	2773.227751	0.376762288	0.07744831	4.864693495	1.15E-06	1.50E-05
Kcnk13	1.164800522	-0.029296627	0.163064765	-0.179662524	0.857417516	0.999630442
4930519F24Rik	1.013385323	0.001749268	0.154708419	0.011306869	0.990978616	0.999630442
Gm26541	11.14270517	-0.493167533	0.29545144	-1.669199965	0.095077757	0.353417566
2010013B24Rik	69.80693896	-1.8172161	0.243344434	-7.467670715	8.16E-14	2.25E-12
Galnt6os	1.655400462	-0.056380675	0.184382501	-0.305781049	0.759771359	0.999630442
5730455P16Rik	2302.090048	0.170917811	0.077094604	2.216987979	0.026623913	0.125890621
Pias1	4007.526318	-0.209154903	0.075528699	-2.769210994	0.005619223	0.033956258
Luc7l3	10727.06278	0.089962979	0.067544426	1.331908258	0.182890337	0.584319707
Npc2	14008.93042	-0.406769792	0.064222745	-6.333734108	2.39E-10	4.90E-09
Myrfl	1.013385323	0.001749268	0.154708419	0.011306869	0.990978616	0.999630442
1700025N21Rik	1.185903398	-0.032194404	0.163968272	-0.196345324	0.844339888	0.999630442
Fuca1	5415.326803	-0.052373433	0.073726476	-0.710374825	0.47747173	0.999630442
Slc9b2	3.678468091	-0.202869198	0.236187415	-0.858933139	0.390377405	0.973457878
Dhh	2.688814466	0.064604628	0.219953598	0.293719352	0.768972366	0.999630442
Tpst1	2412.095436	0.420612983	0.083535744	5.035125852	4.78E-07	6.65E-06
2610028E06Rik	1.013385323	0.001749268	0.154708419	0.011306869	0.990978616	0.999630442
Gm43141	1.013385323	0.001749268	0.154708419	0.011306869	0.990978616	0.999630442
Acsl1	11834.18418	0.308692868	0.077975384	3.958850235	7.53E-05	0.000718709
CH25-588N10.2	39.46053267	0.019929457	0.273148418	0.072962006	0.941836352	0.999630442
1700001J03Rik	1.013385323	0.001749268	0.154708419	0.011306869	0.990978616	0.999630442
Fam186b	1.367975898	0.068723065	0.17216072	0.399179702	0.689760799	0.999630442
Atp6v1f	7291.329111	-0.380058018	0.071872589	-5.287941115	1.24E-07	1.87E-06
Gm26993	1.19068061	0.036415387	0.16416641	0.221819963	0.824454038	0.999630442
9430002A10Rik	53.42714343	-0.265708493	0.250496046	-1.060729292	0.288812944	0.804236826
Riiad1	9.68843849	-0.372209324	0.290418984	-1.281628764	0.199972905	0.622537009
Tmem39b	2835.40627	-0.139418846	0.085013968	-1.639952238	0.101015098	0.370973568
Repin1	1.013385323	0.001749268	0.154708419	0.011306869	0.990978616	0.999630442
Aatk	1.35887542	0.000240415	0.172818926	0.001391138	0.998890033	0.999630442
Mir5100	1.331467189	0.003871543	0.171015792	0.022638509	0.981938626	0.999630442
Ptpn22	8.099985282	-0.248010592	0.285601955	-0.868378482	0.385187171	0.96539534
Gm20712	54.83595842	0.180168439	0.263021974	0.684993867	0.493347791	0.999630442
Gm44668	1.364726827	-0.065862077	0.172704197	-0.381357707	0.702937839	0.999630442
Gm26799	10.58061197	-0.298010159	0.29350795	-1.015339308	0.309944113	0.841609653
Mrpl48-ps	909.0635028	-0.064447832	0.09660617	-0.667119211	0.50469599	0.999630442
Scarna2	9.135103117	-0.124270856	0.289991055	-0.428533413	0.668262813	0.999630442
Clic1	36281.07363	-0.581412955	0.067041326	-8.672456069	4.23E-18	1.61E-16
Abhd16a	10470.47093	-0.072607444	0.067713216	-1.072278773	0.283594838	0.795014019
1700108J01Rik	1.013385323	0.001749268	0.154708419	0.011306869	0.990978616	0.999630442
Gm7308	337.5703729	-0.15426503	0.133724728	-1.153601379	0.248663633	0.729163181
Myl9	4.386138433	0.430119848	0.250234084	1.718869951	0.085638055	0.325112829
Gm26546	4.562757717	-0.065986439	0.251845526	-0.262011559	0.79331253	0.999630442
Pate2	86.35584486	0.130298907	0.220805717	0.590106582	0.555119196	0.999630442
Filip1l	16.84222901	-1.218826213	0.298789478	-4.079213971	4.52E-05	0.000453405
Zkscan1	4009.330787	-0.044375082	0.078582254	-0.564695965	0.572280579	0.999630442
Pax9	103.0538349	-0.02993948	0.204100125	-0.146690161	0.883376585	0.999630442
Spred3	10.76752142	-0.009671839	0.294404796	-0.032852177	0.973792469	0.999630442
Gm6712	609.5564673	0.152966698	0.110939706	1.37882732	0.167948001	0.549095351
Mir219c	1.013385323	0.001749268	0.154708419	0.011306869	0.990978616	0.999630442
Gm12263	1033.504047	-0.080264719	0.094406272	-0.850205364	0.39521092	0.981123635
Gm16437	519.4347342	0.199428951	0.130473792	1.528498165	0.126388899	0.441586493
Supt3	765.6137351	0.139559188	0.11321422	1.232700173	0.217687647	0.661782831
RP24-362N13.1	1.013385323	0.001749268	0.154708419	0.011306869	0.990978616	0.999630442
Kat2b	3490.470981	0.058761761	0.081090657	0.724642808	0.46867119	0.999630442
Wdr73	7526.440186	0.105747149	0.073274357	1.443167206	0.148973375	0.500388244
Bmp8b	29.60377711	1.33088223	0.290780815	4.576925861	4.72E-06	5.59E-05
Gm13517	8.961779958	-0.023535806	0.28766226	-0.081817496	0.934791843	0.999630442
Rab5c	21590.19498	-0.078163034	0.069624548	-1.122636139	0.26159206	0.754307364
Mef2b	1.855780715	-0.02960148	0.193467921	-0.15300459	0.878394656	0.999630442
Olfr1094	1.013385323	0.001749268	0.154708419	0.011306869	0.990978616	0.999630442
Dip2c	1.331467189	0.0039487	0.171695514	0.02299827	0.981651653	0.999630442
Synrg	3844.831804	-0.07653387	0.078077774	-0.980226075	0.326974536	0.873157484
Atad2	28335.84679	-0.250535947	0.06935984	-3.612118282	0.000303706	0.002580545
Rit2	1.013385323	0.001749268	0.154708419	0.011306869	0.990978616	0.999630442
Crebrf	1955.823008	0.071346692	0.084814544	0.841208225	0.400231294	0.988231124
D530018E20Rik	4.877020619	-0.016702006	0.258843382	-0.064525528	0.948551781	0.999630442
